"folio","clientName","siteNumber","siteName"
"A08190713","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A08190698","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A08190707","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143299,"EMB LAS MARGARITAS TULANCINGO"
"A08190704","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462632,"MINIBODEGA IXTLAHUACO"
"A08190701","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71312251,"EMB LAS MARGARITAS ZACUALTIPAN II"
"A08190700","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71236175,"EMB LAS MARGARITAS SAHAGUN TEPEAPUL"
"A08190692","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143298,"EMB LAS MARGARITAS TIZAYUCA"
"A08190693","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143304,"EMB LAS MARGARITAS IXMIQUILPAN"
"A08190697","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143303,"EMB LAS MARGARITAS ACTOPAN"
"A08190676","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A08190672","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71594229,"SAN BARTOLO TUTOTEPEC"
"A08190674","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143305,"EMB LAS MARGARITAS TULA"
"A08190670","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A08190662","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A08190656","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462120,"JOJUTLA II"
"A08190649","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71361758,"QUEBRANTADERO AXOCHIAPAN"
"A07192822","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A07192403","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A07192440","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462120,"JOJUTLA II"
"A07192412","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462120,"JOJUTLA II"
"A07192388","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71361758,"QUEBRANTADERO AXOCHIAPAN"
"A07192396","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462706,"MINIBODEGA AHUACATLAN"
"A07192373","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71759779,"MINIBODEGA TETELA"
"A07192364","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71430006,"ZACATLAN"
"A07192300","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71433858,"HUAUCHINANGO II"
"A07192261","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71594229,"SAN BARTOLO TUTOTEPEC"
"A07192268","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143299,"EMB LAS MARGARITAS TULANCINGO"
"A07192260","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462632,"MINIBODEGA IXTLAHUACO"
"A07192299","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71312251,"EMB LAS MARGARITAS ZACUALTIPAN II"
"A07192321","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71236175,"EMB LAS MARGARITAS SAHAGUN TEPEAPUL"
"A07192315","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143305,"EMB LAS MARGARITAS TULA"
"A07192322","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143298,"EMB LAS MARGARITAS TIZAYUCA"
"A07192319","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71305353,"CORP RICA SUCURSAL PROGRESO"
"A07192320","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143304,"EMB LAS MARGARITAS IXMIQUILPAN"
"A07192236","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143303,"EMB LAS MARGARITAS ACTOPAN"
"A07192323","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A05192191","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462120,"JOJUTLA II"
"A05191120","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462632,"MINIBODEGA IXTLAHUACO"
"A05191122","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A05190994","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71321208,"EMB LAS MARGARITAS NUEVA URBANA CUAUTLA"
"A11190037","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143303,"EMB LAS MARGARITAS ACTOPAN"
"A11190039","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71305353,"CORP RICA SUCURSAL PROGRESO"
"A11190038","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143304,"EMB LAS MARGARITAS IXMIQUILPAN"
"A11190040","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71236175,"EMB LAS MARGARITAS SAHAGUN TEPEAPUL"
"A11190527","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A12190205","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A12190207","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143303,"EMB LAS MARGARITAS ACTOPAN"
"A12190242","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71312251,"EMB LAS MARGARITAS ZACUALTIPAN II"
"A12190243","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71321208,"EMB LAS MARGARITAS NUEVA URBANA CUA"
"A12190244","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A12190246","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A01200436","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143305,"EMB LAS MARGARITAS TULA"
"A01200461","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462632,"MINIBODEGA IXTLAHUACO"
"A01200462","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143299,"EMB LAS MARGARITAS TULANCINGO"
"A01200464","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71430006,"ZACATLAN"
"A01200465","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71433858,"HUAUCHINANGO II"
"A01200466","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71759779,"MINIBODEGA TETELA"
"A01200467","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462706,"MINIBODEGA AHUACATLAN"
"A01200468","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71462120,"JOJUTLA II"
"A01200469","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71361758,"QUEBRANTADERO AXOCHIAPAN"
"A01200471","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"
"A01200473","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143305,"EMB LAS MARGARITAS TULA"
"A01200476","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143307,"EMB DE CUAUTLA PLANTA CUAUTLA"
"A01200993","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",71829936,"NUEVA BODEGA CALINTLA"
"A01201105","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143305,"EMB LAS MARGARITAS TULA"
"A03201657","EMBOTELLADORA LAS MARGARITAS S A P I DE CV",70143296,"EMB LAS MARGARITAS PLANTA PACHUCA"