"empresa","Basico","Estándar","Avanzada","UC"
"IESAC",0,0,0,0
"Demo_Conferencia",0,0,0,0
"CAPOME",0,0,0,0
"Audioconferencias_Telmex",1,0,5,0
"CIA",0,0,0,0
"APA",104,0,0,0
"STM",0,0,2,35
"Fundacion_Carlos_Slim",0,0,10,0
"HCDG",0,0,0,475
"Diageo",94,20,16,0
"EAP",0,70,0,0
"SESESP",0,0,4,50
"Cometra",0,0,0,15
"Bufete_RM",0,0,9,31
"Telmex",266,150,1072,1906
"CGT",0,14,12,0
"Licenciamiento",12,1,6,0
"Intelisis",0,0,0,0
"GDF",0,0,47,8
"Dextra_TECH",114,9,2,0
"fiscaliatabasco",0,386,86,20
"Financiera_Ayudamos",9,0,4,0
"Modatelas",153,162,40,13
"BIMBO",120,455,32,3
"KAA",58,0,7,0
"IEEG",148,0,33,15
"Hospital_Santander",115,0,12,0
"CPM",250,0,0,0
"Lideres_SIO",61,0,41,0
"Vsys",30,26,272,0
"AMX_Contenido",130,23,9,5
"Euro_Alarmas",10,12,5,0
"EME",46,1,4,0
"FOVISEC",22,0,3,0
"PM.Expeditions",6,0,4,0
"AMX_Ent_2414026_CUAD",0,0,18,0
"Jugos_del_Valle",37,0,4,3
"Corporacion_El_Asturiano",28,2,0,0
"CPA",0,0,0,0
"Te_creemos",0,0,0,165
"PROVIDENT",805,0,201,0
"CAO-TELMEX",0,0,51,0
"FCI_Administradora",0,1,14,0
"GCM",794,0,96,0
"Vector",0,0,0,0
"DMHS",227,0,2,10
"DMH",283,14,9,38
"CFE",0,0,40,0
"GEM",0,20,10,0
"CECOBAN",53,0,0,62
"FGE",121,0,49,0
"H_TSJET",101,30,0,11
"SFGEBCS",0,44,9,7
"bsft",6,7,13,0
"Super_Q",0,43,3,11
"GVM",7,0,2,0
"MTBM",0,46,26,7
"GFC",0,20,0,6
"JEC",0,30,0,11
"Instituto_Planeacion_Nayarit",0,0,17,0
"Nuestra_Caja",82,0,3,2
"Troncal_IP",0,0,3,0
"Generadora_Fenix",65,0,28,0
"Fundacion_TELMEX",31,21,5,0
"LandIT",8,0,515,1
"ATP_Flecha_Roja",0,10,7,6
"UANE",23,0,0,12
"Operadora Romano",6,394,80,25
"Contingencia",71,0,0,0
"SPE",127,0,32,0
"SODEXO",0,0,48,0
"SESAJ",0,12,6,27
"Gayosso",532,0,24,43
"PROCONSA",2,104,2,13
"PGJ_MICH",72,40,39,0
"NAH",7,0,3,0
"Multiservicios_Nieto",0,17,1,6
"NSJPBCS",0,33,2,4
"DURAPLAY",18,0,5,2
"GVE",209,0,72,2
"Municipio_de_Jerez",18,2,6,4
"Safety_Textiles",0,17,1,4
"SPA",556,0,141,2
"ASLO",1,0,0,0
"Fidere_III",44,0,10,6
"CEM",0,0,0,259
"CCA",0,132,13,0
"LALA",0,0,380,2424
"VSF",0,5,0,9
"Instituto_Salvatierra",22,0,1,11
"Euroelectrica",54,3,11,0
"Famosa",312,116,105,29