"empresa","sp","total"
,"CallCenterSupervisor",2
,"FaxMessaging",11
,"Enhanced Call Logs",21
,"Call Recording",10
,"Call Center - Standard",12
,"BroadWorks Mobility",10
,"CallCenterAgent",7
,"BroadTouch Business Communicator Mobile - Audio",4
,"BroadTouch Business Communicator Tablet",6
,"3STANDARD",11551
,"5PREMIUM",9147
,"Integrated IMP",6454
,"Collaborate",6235
,"Assistant-Enterprise",10
,"BroadTouch Business Communicator Mobile - Video",6744
,"4PERSONALMOBILITY",9067
,"Prepaid",13
,"BroadTouch Business Communicator Tablet - Video",6380
,"Call Center - Premium",15
,"1BASE",18505
,"Call Center - Basic",12
,"BroadWorks Receptionist - Office",1
,"BroadTouch Business Communicator Desktop - Video",7552
,"BroadTouch Business Communicator Desktop",10
,"2BUSINESSLINE",18508
,"BroadTouch Business Communicator Tablet - Audio",6
,"Calling Line ID Blocking Override",36
,"AttendantConsole",7
,"BroadWorks Receptionist - Small Business",2
,"BroadTouch Business Communicator Mobile",7
,"Messaging",8435
,"Automatic Hold/Retrieve",43
,"BroadTouch MobileLink",53
,"BroadTouch Business Communicator Desktop - Audio",11
,"BroadWorks Receptionist - Enterprise",27
,"Number Portability Announcement",10
,"Video Add-On",10